BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     155,          2,         13,         13,2,20170830,       0027,   -32.5006,  -139.4809,       4726,  1756.9,   2.4228,  34.5900,2,  34.5891,2, 157.5725,2, 158.2421,2,    94.4,2,   35.08,2,    0.00,2,    2.43,2,   0.048,2,   0.035,2,   0.0000,2,  2278.6,2,  2366.4,2,   7.5689,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      139, -32.5000,-139.4805,        0.0,1,      0.061,1,      4.696,1,      0.129,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.4317,2
320620170820,        P06,     155,          2,         14,         14,2,20170830,       0027,   -32.5006,  -139.4809,       4726,  1582.1,   2.7095,  34.5347,2,  34.5347,2, 163.8588,2, 164.0164,2,    80.1,2,   34.92,2,    0.00,2,    2.40,2,   0.079,2,   0.053,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      143, -32.4998,-139.4803,        0.0,1,      0.060,1,      4.696,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.7079,2
320620170820,        P06,     155,          2,         15,         15,2,20170830,       0027,   -32.5006,  -139.4809,       4726,  1480.0,   2.8944,  34.4968,2,  34.4970,2, 168.0117,2, 167.9319,2,    71.2,2,   34.74,2,    0.00,2,    2.38,2,   0.107,2,   0.078,2,   0.0000,2,  2252.6,2,  2339.3,2,   7.5687,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      146, -32.4997,-139.4803,        0.0,1,      0.061,1,      4.696,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.8921,2
320620170820,        P06,     155,          2,         16,         16,2,20170830,       0027,   -32.5006,  -139.4809,       4726,  1381.1,   3.1250,  34.4546,2,  34.4475,2, 172.2877,2, 172.6871,2,    61.2,2,   34.36,2,    0.00,2,    2.35,2,   0.202,2,   0.129,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      149, -32.4998,-139.4803,        0.0,1,      0.061,1,      4.696,1,      0.129,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.1859,2
320620170820,        P06,     155,          2,         17,         17,2,20170830,       0027,   -32.5006,  -139.4809,       4726,  1173.1,   4.0195,  34.3501,2,  34.3474,2, 192.6082,2, 191.9733,2,    38.1,2,   32.24,2,    0.00,2,    2.20,2,   0.754,6,   0.399,6,   0.1935,6,  2207.2,2,  2303.5,6,   7.6028,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      154, -32.5000,-139.4805,        0.0,1,      0.060,1,      4.696,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.0445,2
320620170820,        P06,     155,          2,         18,         18,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   975.8,   5.0440,  34.3054,2,  34.3019,2, 216.2404,2, 214.8826,2,    20.3,2,   28.68,2,    0.00,2,    1.93,2,   1.691,2,   0.829,2,   0.3420,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      158, -32.5001,-139.4805,        0.0,1,      0.060,1,      4.696,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.1448,2
320620170820,        P06,     155,          2,         19,         19,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   872.8,   5.5971,  34.2979,2,  34.2982,2, 227.9002,2, 227.6799,2,    14.3,2,   26.55,2,    0.00,2,    1.80,2,   2.331,2,   1.171,2,   0.5220,2,  2161.4,2,  2284.1,2,   7.6751,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      201, -32.4997,-139.4804,        0.0,1,      0.059,1,      4.696,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.6194,2
320620170820,        P06,     155,          2,         20,         20,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   773.8,   6.1554,  34.3133,2,  34.3093,2,  236.538,2, 236.5862,2,    10.5,2,   24.83,2,    0.00,2,    1.67,2,   2.958,2,   1.497,2,   0.6800,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      204, -32.4995,-139.4800,        0.0,1,      0.059,1,      4.695,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.0745,2
320620170820,        P06,     155,          2,         21,         21,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   671.4,   6.7094,  34.3468,2,  34.3464,2, 242.1602,2, 243.1563,2,     7.5,2,   22.71,2,    0.00,2,    1.53,2,   3.468,2,   1.826,2,   1.0260,2,  2145.8,2,  2279.1,2,   7.7092,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      207, -32.4994,-139.4799,        0.0,1,      0.059,1,      4.695,1,      0.133,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.7147,2
320620170820,        P06,     155,          2,         22,         22,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   569.5,   7.3187,  34.3874,2,  34.3898,2, 243.1594,2, 243.7863,2,     5.6,2,   20.67,2,    0.00,2,    1.40,2,   3.718,2,   1.948,2,   1.3700,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      210, -32.4995,-139.4800,        0.0,1,      0.059,1,      4.693,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.3647,2
320620170820,        P06,     155,          2,         23,         23,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   467.5,   8.4164,  34.4457,2,  34.4383,2, 224.8462,3, 232.4971,2,     4.3,2,   18.64,2,    0.00,2,    1.29,2,   3.360,2,   1.857,2,   1.3490,2,  2136.0,2,  2278.6,2,   7.7291,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      213, -32.4995,-139.4801,        0.0,1,      0.059,1,      4.691,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.3074,2
320620170820,        P06,     155,          2,         24,         24,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   367.9,  10.9507,  34.6612,2,  34.6248,3, 206.2828,2, 212.9946,2,     2.8,2,   14.12,2,    0.00,2,    1.00,2,   2.815,2,   1.684,2,   1.3120,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      216, -32.4995,-139.4801,        0.0,1,      0.058,1,      4.689,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.5967,2
320620170820,        P06,     155,          2,         25,         25,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   288.3,  14.1204,  35.0334,2,  35.0152,3, 203.9552,2, 211.2126,2,     1.2,2,    6.62,2,    0.00,2,    0.54,2,   2.559,2,   1.514,2,   1.4840,2,  2102.3,2,  2303.2,2,   7.8555,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      219, -32.4995,-139.4800,        0.0,1,      0.059,1,      4.686,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    13.9725,2
320620170820,        P06,     155,          2,         26,         26,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   237.9,  15.2140,  35.1729,2,  35.1159,3, 212.3705,2, 217.7546,2,     0.7,2,    3.75,2,    0.02,2,    0.35,2,   2.495,2,   1.469,2,   1.5050,2,  2090.5,2,  2307.9,2,   7.8867,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      221, -32.4994,-139.4799,        0.0,1,      0.062,1,      4.684,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9099,2
320620170820,        P06,     155,          2,         27,         27,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   188.4,  16.0228,  35.2084,2,  35.2274,2, 212.9432,2, 219.2923,2,     0.6,2,    1.93,2,    0.05,2,    0.24,2,   2.203,2,   1.412,2,   1.4990,2,  2081.3,2,  2313.4,2,   7.9146,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      224, -32.4994,-139.4799,        0.0,1,      0.089,1,      4.674,1,      0.142,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    16.1935,2
320620170820,        P06,     155,          2,         28,         28,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   131.5,  17.8380,  35.4668,2,  35.4515,2, 236.4487,2,  234.529,2,     0.3,2,    0.00,2,    0.00,2,    0.06,2,   2.178,2,   1.276,2,   1.7740,2,  2059.2,2,  2327.2,2,   7.9820,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      226, -32.4996,-139.4802,        0.0,1,      0.129,1,      4.643,1,      0.173,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7658,2
320620170820,        P06,     155,          2,         31,         31,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   103.2,  17.8294,  35.4650,2,  35.4557,2, 234.0679,2, 234.4059,2,     0.3,2,    0.00,2,    0.00,2,    0.07,2,   2.172,2,   1.272,2,   1.5880,2,  2056.9,2,  2325.6,2,   7.9832,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      229, -32.4999,-139.4807,        0.0,1,      0.129,1,      4.643,1,      0.173,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7730,2
320620170820,        P06,     155,          2,         30,         30,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   102.8,  17.8294,  35.4650,2,-999.0000,9, 227.4315,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      229, -32.4999,-139.4806,        0.0,1,      0.129,1,      4.643,1,      0.173,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    17.7738,2
320620170820,        P06,     155,          2,         29,         29,2,20170830,       0027,   -32.5006,  -139.4809,       4726,   102.7,  17.8294,  35.4650,2,-999.0000,9,  227.384,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      228, -32.4998,-139.4805,        0.0,1,      0.129,1,      4.643,1,      0.173,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    17.7592,2
320620170820,        P06,     155,          2,         32,         32,2,20170830,       0027,   -32.5006,  -139.4809,       4726,    64.9,  17.8275,  35.4659,2,  35.4614,2, 236.8957,2, 234.6334,2,     0.3,2,    0.00,2,    0.00,2,    0.06,2,   2.166,2,   1.274,2,   1.6090,2,  2054.9,2,  2326.8,2,   7.9835,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      232, -32.5002,-139.4808,        0.0,1,      0.132,1,      4.642,1,      0.176,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7745,2
320620170820,        P06,     155,          2,         33,         33,2,20170830,       0027,   -32.5006,  -139.4809,       4726,    40.6,  17.8300,  35.4671,2,  35.4626,2,    233.6,2,  234.623,2,     0.4,2,    0.00,2,    0.00,2,    0.07,2,   2.199,2,   1.258,2,   1.6800,2,  2057.7,2,  2327.2,6,   7.9834,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      233, -32.5004,-139.4809,        0.0,1,      0.130,1,      4.638,1,      0.172,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7862,2
320620170820,        P06,     155,          2,         35,         35,2,20170830,       0027,   -32.5006,  -139.4809,       4726,    27.2,  17.8320,  35.4677,2,  35.4598,2, 232.1879,2,  234.654,2,     0.3,2,    0.00,2,    0.00,2,    0.07,2,   2.159,2,   1.260,2,   1.6220,2,  2056.8,2,  2327.0,2,   7.9834,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      236, -32.5005,-139.4809,        0.0,1,      0.122,1,      4.634,1,      0.172,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7734,2
320620170820,        P06,     155,          2,         34,         34,2,20170830,       0027,   -32.5006,  -139.4809,       4726,    26.8,  17.8320,  35.4677,2,-999.0000,9, 227.8221,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      235, -32.5005,-139.4809,        0.0,1,      0.122,1,      4.634,1,      0.172,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    17.7765,2
320620170820,        P06,     155,          2,         36,         36,2,20170830,       0027,   -32.5006,  -139.4809,       4726,     4.6,  17.8304,  35.4681,2,  35.4588,2, 228.0891,2, 234.4236,2,     0.4,2,    0.00,2,    0.00,2,    0.09,2,   2.159,2,   1.260,2,   1.6670,2,  2055.2,6,  2334.2,3,   7.9833,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      237, -32.5006,-139.4809,        0.0,1,      0.093,1,      4.634,1,      0.171,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    17.7660,2
320620170820,        P06,     156,          1,          1,          1,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  4645.7,   1.3475,  34.7051,2,  34.7050,3, 191.1176,2, 191.6847,2,   120.2,2,   32.87,2,    0.00,2,    2.27,2,   0.031,6,   0.027,6,   0.0000,6,  2278.1,6,  2379.5,2,   7.6092,2,    25.00,  -999.0,9,  -999.0,    41.1,2, -999.00,9,     -999.0,1, 20170830,      855, -32.4994,-138.5880,        0.0,1,      0.061,1,      4.694,1,      0.125,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3482,2
320620170820,        P06,     156,          1,          2,          2,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  4427.9,   1.3304,  34.7048,2,  34.7044,3, 191.1176,2, 191.2286,2,   120.1,2,   32.83,2,    0.00,2,    2.27,2,   0.029,2,   0.023,2,   0.0000,2,  2278.6,2,  2380.4,2,   7.6069,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      902, -32.4993,-138.5879,        0.0,1,      0.061,1,      4.694,1,      0.123,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3314,2
320620170820,        P06,     156,          1,          3,          3,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  4274.0,   1.3358,  34.7036,2,  34.7028,3, 190.1706,2, 189.8429,2,   120.4,2,   32.93,2,    0.00,2,    2.28,2,   0.028,2,   0.020,2,   0.0000,2,  2279.1,2,  2381.4,2,   7.6078,2,    25.00,  -999.0,9,  -999.0,    39.8,2, -999.00,9,     -999.0,1, 20170830,      908, -32.4991,-138.5877,        0.0,1,      0.062,1,      4.694,1,      0.123,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.3370,2
320620170820,        P06,     156,          1,          4,          4,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  3963.7,   1.4083,  34.6979,2,  34.6948,3, 182.9979,2, 183.4019,2,   121.9,2,   33.33,2,    0.00,2,    2.31,2,   0.030,2,   0.021,2,   0.0000,2,  2284.6,2,  2384.5,2,   7.6004,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      917, -32.4990,-138.5876,        0.0,1,      0.061,1,      4.695,1,      0.125,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.4063,2
320620170820,        P06,     156,          1,          5,          5,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  3656.2,   1.5111,  34.6897,2,  34.6873,2, 176.0121,2, 175.2129,2,   123.6,2,   33.91,2,    0.00,2,    2.35,2,   0.030,2,   0.019,2,   0.0000,2,  2291.7,2,  2388.7,2,   7.5947,2,    25.00,  -999.0,9,  -999.0,    38.3,2, -999.00,9,     -999.0,1, 20170830,      925, -32.4992,-138.5879,        0.0,1,      0.061,1,      4.695,1,      0.124,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.5103,2
320620170820,        P06,     156,          1,          6,          6,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  3350.4,   1.6021,  34.6814,2,  34.6800,2, 170.1984,2, 169.4017,2,   124.7,2,   34.42,2,    0.00,2,    2.39,2,   0.034,2,   0.024,2,   0.0000,2,  2297.6,2,  2390.7,2,   7.5905,2,    25.00,  -999.0,9,  -999.0,    43.4,3, -999.00,9,     -999.0,1, 20170830,      932, -32.4992,-138.5879,        0.0,1,      0.061,1,      4.695,1,      0.124,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.5970,2
320620170820,        P06,     156,          1,          7,          7,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  3042.6,   1.6738,  34.6745,2,  34.6722,2, 164.2725,2, 164.2809,2,   124.6,2,   34.67,2,    0.00,2,    2.41,2,   0.028,2,   0.021,2,   0.0000,2,  2300.4,2,  2392.3,2,   7.5852,6,    25.00,  -999.0,9,  -999.0,    39.7,2, -999.00,9,     -999.0,1, 20170830,      939, -32.4996,-138.5884,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.6772,2
320620170820,        P06,     156,          1,          8,          8,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  2786.9,   1.7498,  34.6679,2,  34.6653,2, 159.9509,2, 159.6464,2,   124.5,2,   34.99,2,    0.00,2,    2.44,2,   0.030,2,   0.023,2,   0.0000,2,  2305.0,2,  2394.2,2,   7.5815,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,      946, -32.4990,-138.5878,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7480,2
320620170820,        P06,     156,          1,          9,          9,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  2532.0,   1.8439,  34.6597,2,  34.6594,2, 155.3993,2, 155.2081,2,   123.2,2,   35.37,2,    0.00,2,    2.46,2,   0.030,2,   0.021,2,   0.0000,2,  2304.5,2,  2395.8,6,   7.5763,2,    25.00,  -999.0,9,  -999.0,    41.1,2, -999.00,9,     -999.0,1, 20170830,      953, -32.4992,-138.5879,        0.0,1,      0.061,1,      4.696,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8520,2
320620170820,        P06,     156,          1,         10,         10,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  2276.4,   1.9696,  34.6485,2,  34.6464,2, 152.7613,2, 153.6346,2,   118.9,2,   35.36,2,    0.00,2,    2.47,2,   0.030,2,   0.021,2,   0.0000,2,  2304.2,2,  2394.7,2,   7.5725,2,    25.00,  -999.0,9,  -999.0,    39.5,2, -999.00,9,     -999.0,1, 20170830,     1000, -32.4996,-138.5883,        0.0,1,      0.061,1,      4.696,1,      0.128,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9655,2
320620170820,        P06,     156,          1,         11,         11,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  2023.2,   2.1786,  34.6252,2,  34.6246,2, 153.8318,2, 154.4222,2,   109.5,2,   35.25,2,    0.00,2,    2.46,2,   0.029,2,   0.023,2,   0.0000,2,  2292.9,6,  2382.7,2,   7.5716,2,    25.00,  -999.0,9,  -999.0,    37.9,2, -999.00,9,     -999.0,1, 20170830,     1007, -32.4990,-138.5880,        0.0,1,      0.061,1,      4.696,1,      0.128,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1710,2
320620170820,        P06,     156,          1,         12,         12,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1819.4,   2.3575,  34.5995,2,  34.5979,2, 155.5843,2, 156.4458,2,   100.4,2,   35.21,2,    0.00,2,    2.44,2,   0.034,2,   0.023,2,   0.0000,2,  2284.8,2,  2372.9,2,   7.5705,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1013, -32.4991,-138.5880,        0.0,1,      0.061,1,      4.696,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.3518,2
320620170820,        P06,     156,          1,         13,         13,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1619.1,   2.6461,  34.5477,2,  34.5549,2, 160.3362,2, 161.4688,2,    85.6,2,   34.80,2,    0.00,2,    2.41,2,   0.055,2,   0.038,2,   0.0000,2,  2270.9,2,  2355.3,2,   7.5688,2,    25.00,  -999.0,9,  -999.0,    39.5,2, -999.00,9,     -999.0,1, 20170830,     1019, -32.4992,-138.5882,        0.0,1,      0.061,1,      4.697,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.6000,2
320620170820,        P06,     156,          1,         14,         14,2,20170830,       0855,   -32.4989,  -138.5881,       4572,  1515.4,   2.8180,  34.5126,2,  34.5188,2, 164.9432,2, 165.3103,2,    76.7,2,   34.76,2,    0.00,2,    2.39,2,   0.091,2,   0.059,2,   0.0000,2,  2258.3,2,  2344.3,2,   7.5677,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170830,     1024, -32.4992,-138.5881,        0.0,1,      0.061,1,      4.696,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.7693,2
